first_name,last_name,email,cf_id,remaining_goal
Ariadna,Geisel,ariadna.geisel@rangel.com,1114,88154
Calogero,Cross,calogero.cross@mercantini.it,968,153288
Caroline,Reeves,caroline.reeves@yahoo.com,2882,3768
Chantal,Armas,chantal.armas@jenkins.net,1572,98164
Danny,Farrell,danny.farrell@hotmail.com,2488,1503
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,2510,40291
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,563,71872
Henry,Gucci,henry.gucci@leleu.fr,238,41198
Imelda,Guerin,imelda.guerin@stumpf.net,948,1559
Katarina,Clarke,katarina.clarke@hotmail.com.au,910,3739
Lauretta,Neal,lauretta.neal@hotmail.de,2284,151747
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,1911,72323
Svenja,Perrin,svenja.perrin@berger.com,65,8362
Tobias,Carbajal,tobias.carbajal@live.com,3138,426
